State,Consumer Category,Sub Category,Supply Voltage Category,Supply Voltage,Month,TOD Start Time,TOD End Time,Base Energy Rate (₹),Base Energy Unit,TOD Charge %,Energy Rate (₹)
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Jul-26,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Aug-26,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Sep-26,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Oct-26,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Nov-26,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Dec-26,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Jan-27,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Feb-27,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",At 11 kV,11,Mar-27,,,8.32,kVAh,0,8.32
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Apr-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",May-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Jun-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Jul-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Aug-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Sep-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Oct-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Nov-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Dec-26,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Jan-27,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Feb-27,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Commercial, Private Inst., Non-Domestic Bulk (>=75 kW)",Above 11 kV,"33,66,132",Mar-27,,,8.12,kVAh,0,8.12
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Apr-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,May-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Jun-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Jul-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Aug-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Sep-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Oct-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Nov-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Dec-26,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Jan-27,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Feb-27,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",At 11 kV,11,Mar-27,,,7.7,kVAh,0,7.7
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Apr-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",May-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Jun-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Jul-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Aug-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Sep-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Oct-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Nov-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Dec-26,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Jan-27,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Feb-27,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-1,"Public Inst., Societies, Townships (>=75 kW)",Above 11 kV,"33,66,132",Mar-27,,,7.5,kVAh,0,7.5
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Apr-26,5:00,10:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Apr-26,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Apr-26,19:00,3:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Apr-26,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,May-26,5:00,10:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,May-26,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,May-26,19:00,3:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,May-26,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jun-26,5:00,10:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jun-26,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jun-26,19:00,3:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jun-26,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jul-26,5:00,10:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jul-26,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jul-26,19:00,3:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jul-26,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Aug-26,5:00,10:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Aug-26,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Aug-26,19:00,3:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Aug-26,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Sep-26,5:00,10:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Sep-26,10:00,19:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Sep-26,19:00,3:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Sep-26,3:00,5:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Oct-26,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Oct-26,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Oct-26,17:00,23:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Oct-26,23:00,5:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Nov-26,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Nov-26,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Nov-26,17:00,23:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Nov-26,23:00,5:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Dec-26,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Dec-26,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Dec-26,17:00,23:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Dec-26,23:00,5:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jan-27,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jan-27,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jan-27,17:00,23:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Jan-27,23:00,5:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Feb-27,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Feb-27,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Feb-27,17:00,23:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Feb-27,23:00,5:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Mar-27,5:00,11:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Mar-27,11:00,17:00,7.1,kVAh,0,7.1
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Mar-27,17:00,23:00,7.1,kVAh,15,8.165
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Up to 11 kV,11,Mar-27,23:00,5:00,7.1,kVAh,-15,6.035
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Apr-26,5:00,10:00,6.8,kVAh,-15,5.78
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Apr-26,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Apr-26,19:00,3:00,6.8,kVAh,15,7.82
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Apr-26,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",May-26,5:00,10:00,6.8,kVAh,-15,5.78
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",May-26,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",May-26,19:00,3:00,6.8,kVAh,15,7.82
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",May-26,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Jun-26,5:00,10:00,6.8,kVAh,-15,5.78
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Jun-26,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Jun-26,19:00,3:00,6.8,kVAh,15,7.82
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Jun-26,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Jul-26,5:00,10:00,6.8,kVAh,-15,5.78
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Jul-26,10:00,19:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Jul-26,19:00,3:00,6.8,kVAh,15,7.82
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Jul-26,3:00,5:00,6.8,kVAh,0,6.8
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Aug-26,5:00,10:00,6.8,kVAh,-15,5.78
Uttar Pradesh,HV-2,Urban Schedule (Large & Heavy Power),Above 11 kV to 66 kV,"33,66",Aug-26,10:00,19:00,6.8,kVAh,0,6.8
